metric,category,mean,min,max,std,count
context_recall,전체,0.8,0.4,1.0,0.18499249234015477,11
context_precision,전체,0.9848484848007576,0.8333333332916666,0.9999999999666667,0.05025189076095055,11
faithfulness,전체,0.9168109668109667,0.6,1.0,0.12443918952594395,11
answer_relevancy,전체,0.50191664522037,0.14106196163568965,0.7357602545877502,0.17988614496188055,11
answer_correctness,전체,0.6576418948766601,0.3085357252070503,0.8990039324661762,0.1765733478649288,11
context_recall,논문검색,0.875,0.6666666666666666,1.0,0.1178511301977579,8
context_precision,논문검색,0.9791666666135417,0.8333333332916666,0.9999999999666667,0.05892556509424912,8
faithfulness,논문검색,0.8939484126984126,0.6,1.0,0.13967090338823038,8
answer_relevancy,논문검색,0.5470318357069164,0.33107902362625313,0.7357602545877502,0.15147284800881555,8
answer_correctness,논문검색,0.7011188612722014,0.44728251985799483,0.8990039324661762,0.14360931464011836,8
context_recall,웹검색,0.6,0.4,0.8,0.2,3
context_precision,웹검색,0.9999999999666667,0.9999999999666667,0.9999999999666667,0.0,3
faithfulness,웹검색,0.9777777777777779,0.9333333333333333,1.0,0.03849001794597504,3
answer_relevancy,웹검색,0.3816094705895799,0.14106196163568965,0.5926657605710006,0.22724171448165673,3
answer_correctness,웹검색,0.5417033178218836,0.3085357252070503,0.7816120950326708,0.23661021871247312,3
title_found_accuracy,논문검색,1.0,0.0,1.0,0.0,8
