metric,category,mean,min,max,std,count
context_recall,전체,0.6575757575757575,0.4,0.8,0.13506451881387743,11
context_precision,전체,0.9170454545218338,0.3333333333,0.99999999998,0.19769904303648334,11
faithfulness,전체,0.9477590591226955,0.8181818181818182,1.0,0.06545548019203136,11
answer_relevancy,전체,0.46884111900952535,0.1337696067974591,0.7203109632213395,0.1951461753963654,11
answer_correctness,전체,0.6219981369838601,0.2636716664644983,0.8118716739305232,0.20455692420576221,11
context_recall,논문검색,0.6291666666666667,0.4,0.8,0.13736465199987813,8
context_precision,논문검색,0.899999999975295,0.3333333333,0.99999999998,0.2311118742394419,8
faithfulness,논문검색,0.9406687062937062,0.8181818181818182,1.0,0.07040987604225549,8
answer_relevancy,논문검색,0.5112842731376395,0.25631124849333237,0.7203109632213395,0.17816650297698436,8
answer_correctness,논문검색,0.6254383858376633,0.3103549327161135,0.80364552960442,0.18284627414387744,8
context_recall,웹검색,0.7333333333333334,0.6,0.8,0.11547005383792519,3
context_precision,웹검색,0.9624999999792708,0.8874999999778125,0.99999999998,0.06495190528509587,3
faithfulness,웹검색,0.9666666666666667,0.9,1.0,0.05773502691896256,3
answer_relevancy,웹검색,0.3556593746678877,0.1337696067974591,0.5929428556215435,0.22997335261021581,3
answer_correctness,웹검색,0.6128241400403849,0.2636716664644983,0.8118716739305232,0.3033635306607965,3
title_found_accuracy,논문검색,0.875,0.0,1.0,0.0,8
